id,x,y,z,date_mpu,time_mpu,time_float
247,-1132,948,15880,2022-03-25,20:59:08,20.9856
248,-1188,1008,15748,2022-03-25,20:59:24,20.99
249,-1216,1016,15724,2022-03-25,20:59:39,20.9942
250,-1212,996,15724,2022-03-25,20:59:55,20.9986
251,-1164,1028,15820,2022-03-25,21:00:11,21.0031
252,-1192,964,15816,2022-03-25,21:00:26,21.0072
253,-1172,976,15660,2022-03-25,21:00:42,21.0117
254,-1164,976,15836,2022-03-25,21:00:58,21.0161
255,-1148,1028,15776,2022-03-25,21:01:13,21.0203
256,-1208,920,15624,2022-03-25,21:01:29,21.0247
257,-1152,980,15696,2022-03-25,21:01:45,21.0292
258,-1224,1016,15656,2022-03-25,21:02:00,21.0333
259,-1184,996,15820,2022-03-25,21:02:16,21.0378
260,-1240,904,15756,2022-03-25,21:02:32,21.0422
261,-1148,964,15756,2022-03-25,21:02:47,21.0464
262,-1164,948,15748,2022-03-25,21:03:03,21.0508
263,-1188,1028,15788,2022-03-25,21:03:19,21.0553
264,-1168,1008,15656,2022-03-25,21:03:34,21.0594
265,-1164,944,15720,2022-03-25,21:03:50,21.0639
266,-1124,1040,15768,2022-03-25,21:04:06,21.0683
267,-1164,920,15632,2022-03-25,21:04:21,21.0725
268,-1156,1028,15748,2022-03-25,21:04:37,21.0769
269,-1216,968,15696,2022-03-25,21:04:53,21.0814
270,-1188,984,15732,2022-03-25,21:05:08,21.0856
271,-1192,1016,15660,2022-03-25,21:05:24,21.09
272,-1148,1008,15780,2022-03-25,21:05:40,21.0944
273,-1192,944,15772,2022-03-25,21:05:55,21.0986
274,-1172,1036,15728,2022-03-25,21:06:11,21.1031
275,-1164,1024,15724,2022-03-25,21:06:27,21.1075
276,-1124,976,15676,2022-03-25,21:06:42,21.1117
277,-1168,1036,15724,2022-03-25,21:06:58,21.1161
278,-1264,1032,15816,2022-03-25,21:07:14,21.1206
279,-1200,908,15668,2022-03-25,21:07:29,21.1247
280,-1192,916,15724,2022-03-25,21:07:45,21.1292
281,-1188,968,15676,2022-03-25,21:08:01,21.1336
282,-1176,1032,15736,2022-03-25,21:08:16,21.1378
283,-1228,1020,15760,2022-03-25,21:08:32,21.1422
284,-1192,1012,15720,2022-03-25,21:08:48,21.1467
285,-1232,972,15716,2022-03-25,21:09:03,21.1508
286,-1232,996,15808,2022-03-25,21:09:19,21.1553
287,-1176,944,15684,2022-03-25,21:09:35,21.1597
288,-1204,912,15588,2022-03-25,21:09:50,21.1639
289,-1144,940,15656,2022-03-25,21:10:06,21.1683
290,-1196,908,15756,2022-03-25,21:10:22,21.1728
291,-1104,892,15608,2022-03-25,21:10:37,21.1769
292,-1228,972,15724,2022-03-25,21:10:53,21.1814
293,-1224,1008,15756,2022-03-25,21:11:09,21.1858
294,-1216,992,15700,2022-03-25,21:11:24,21.19
295,-1272,908,15704,2022-03-25,21:11:40,21.1944
296,-1192,988,15724,2022-03-25,21:11:56,21.1989
297,-1160,972,15728,2022-03-25,21:12:11,21.2031
298,-1208,992,15660,2022-03-25,21:12:27,21.2075
299,-1144,932,15704,2022-03-25,21:12:43,21.2119
300,-1148,972,15684,2022-03-25,21:12:58,21.2161
301,-1104,1008,15592,2022-03-25,21:13:14,21.2206
302,-1240,948,15784,2022-03-25,21:13:30,21.225
303,-1260,1032,15800,2022-03-25,21:13:45,21.2292
304,-1220,980,15764,2022-03-25,21:14:01,21.2336
305,-1240,1000,15732,2022-03-25,21:14:17,21.2381
306,-1240,940,15644,2022-03-25,21:14:32,21.2422
307,-1244,984,15752,2022-03-25,21:14:48,21.2467
308,-1240,980,15856,2022-03-25,21:15:04,21.2511
309,-1244,972,15760,2022-03-25,21:15:19,21.2553
310,-1180,1016,15640,2022-03-25,21:15:35,21.2597
311,-1224,1004,15692,2022-03-25,21:15:51,21.2642
312,-1192,900,15684,2022-03-25,21:16:06,21.2683
313,-1200,964,15676,2022-03-25,21:16:22,21.2728
314,-1196,964,15700,2022-03-25,21:16:38,21.2772
315,-1164,968,15792,2022-03-25,21:16:53,21.2814
316,-1208,1000,15712,2022-03-25,21:17:09,21.2858
317,-1240,1020,15692,2022-03-25,21:17:25,21.2903
318,-1228,1040,15824,2022-03-25,21:17:40,21.2944
319,-1192,988,15792,2022-03-25,21:17:56,21.2989
320,-1176,988,15752,2022-03-25,21:18:12,21.3033
321,-1176,1060,15676,2022-03-25,21:18:27,21.3075
322,-1164,972,15856,2022-03-25,21:18:43,21.3119
323,-1240,1048,15812,2022-03-25,21:18:59,21.3164
324,-1156,968,15656,2022-03-25,21:19:14,21.3206
325,-1184,1000,15804,2022-03-25,21:19:30,21.325
326,-1204,932,15728,2022-03-25,21:19:46,21.3294
327,-1184,956,15724,2022-03-25,21:20:01,21.3336
328,-1188,1020,15632,2022-03-25,21:20:17,21.3381
329,-1196,928,15656,2022-03-25,21:20:33,21.3425
330,-1196,956,15740,2022-03-25,21:20:48,21.3467
331,-1292,1088,15628,2022-03-25,21:21:04,21.3511
332,-1176,892,15704,2022-03-25,21:21:20,21.3556
333,-1176,1004,15792,2022-03-25,21:21:35,21.3597
334,-1180,972,15732,2022-03-25,21:21:51,21.3642
335,-1192,976,15780,2022-03-25,21:22:07,21.3686
336,-1236,996,15684,2022-03-25,21:22:22,21.3728
337,-1164,964,15720,2022-03-25,21:22:38,21.3772
338,-1212,960,15716,2022-03-25,21:22:54,21.3817
339,-1208,1024,15804,2022-03-25,21:23:09,21.3858
340,-1240,968,15604,2022-03-25,21:23:25,21.3903
341,-1164,1000,15716,2022-03-25,21:23:41,21.3947
342,-1132,1024,15744,2022-03-25,21:23:57,21.3992
343,-1216,956,15736,2022-03-25,21:24:14,21.4039
344,-1188,984,15612,2022-03-25,21:24:30,21.4083
345,-1204,988,15796,2022-03-25,21:24:45,21.4125
346,-1216,936,15740,2022-03-25,21:25:01,21.4169
347,-1164,1000,15632,2022-03-25,21:25:17,21.4214
348,-1168,948,15760,2022-03-25,21:25:32,21.4256
349,-1140,988,15664,2022-03-25,21:25:48,21.43
350,-1144,980,15752,2022-03-25,21:26:05,21.4347
351,-1272,960,15760,2022-03-25,21:26:21,21.4392
352,-1220,972,15568,2022-03-25,21:26:37,21.4436
353,-1192,972,15744,2022-03-25,21:26:52,21.4478
354,-1224,1016,15724,2022-03-25,21:27:08,21.4522
355,-1168,984,15688,2022-03-25,21:27:24,21.4567
356,-1180,1040,15732,2022-03-25,21:27:39,21.4608
357,-1208,960,15656,2022-03-25,21:27:55,21.4653
358,-1200,996,15872,2022-03-25,21:28:11,21.4697
359,-1148,976,15824,2022-03-25,21:28:26,21.4739
360,-1232,996,15632,2022-03-25,21:28:42,21.4783
361,-1228,984,15640,2022-03-25,21:28:58,21.4828
362,-1220,960,15692,2022-03-25,21:29:13,21.4869
363,-1232,996,15676,2022-03-25,21:29:29,21.4914
364,-1140,1008,15748,2022-03-25,21:29:45,21.4958
365,-1172,1016,15800,2022-03-25,21:30:01,21.5003
366,-1212,1004,15756,2022-03-25,21:30:21,21.5058
367,-1164,972,15808,2022-03-25,21:30:37,21.5103
368,-1144,1004,15848,2022-03-25,21:30:53,21.5147
369,-1244,1016,15704,2022-03-25,21:31:08,21.5189
370,-1248,996,15700,2022-03-25,21:31:24,21.5233
371,-1084,980,15684,2022-03-25,21:31:40,21.5278
372,-1188,1012,15780,2022-03-25,21:31:55,21.5319
373,-1168,1020,15800,2022-03-25,21:32:11,21.5364
374,-1240,1044,15776,2022-03-25,21:32:27,21.5408
375,-1252,972,15688,2022-03-25,21:32:42,21.545
376,-1244,1000,15664,2022-03-25,21:32:58,21.5494
377,-1216,956,15696,2022-03-25,21:33:14,21.5539
378,-1204,964,15800,2022-03-25,21:33:29,21.5581
379,-1156,1028,15752,2022-03-25,21:33:45,21.5625
